question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	1	12	L	11	light	144	RMPSS	Religion		Toronto A	Zhenglin Liu	-5	85	0.59			
2018-01-20	Toronto	1	12	L	13	First Folio	144	Literature	Miscellaneous Lit		Toronto A	Zhenglin Liu	10	144	1.0	bounceback		
2018-01-20	Toronto	1	12	L	15	Greek independence	122	History	Continental European History (post-600 CE)		Toronto A	Ben Hillier-Weltman	10	104	0.852			
2018-01-20	Toronto	1	12	L	17	Billiards at Half-Past Nine	144	Literature	Long Fiction		Toronto A	Raymond Chen	-5	82	0.569			
2018-01-20	Toronto	1	12	L	18	California	149	Arts	Painting/Sculpture		Toronto A	Paul Kasinski	0	149	1.0			
2018-01-20	Toronto	1	12	L	19	Caribs	133	History	Other History		Toronto A	Paul Kasinski	10	64	0.481			
2018-01-20	Toronto	1	12	L	20	cornea	138	Science	Biology		Toronto A	Zhenglin Liu	-5	126	0.913			
2018-01-20	Toronto	1	12	L	2	Hector Berlioz	133	Arts	Music		Carleton	Ian Dewan	10	72	0.541			
2018-01-20	Toronto	1	12	L	4	spin	134	Science	Physics		Carleton	Ian Dewan	10	109	0.813			
2018-01-20	Toronto	1	12	L	5	hegemony	124	RMPSS	Social Science		Carleton	Cameron Amini	10	121	0.976			
2018-01-20	Toronto	1	12	L	6	Mausoleum of Qin Shi Huangdi	138	History	Historiography and Archaeology		Carleton	Ted Gan	10	50	0.362			
2018-01-20	Toronto	1	12	L	8	pharaoh	155	Arts	Other Art	Other Music	Carleton	Cameron Amini	-5	92	0.594			
2018-01-20	Toronto	1	12	L	9	call stack	126	Science	Other Science	Computer Science	Carleton	Ian Dewan	10	30	0.238			
2018-01-20	Toronto	1	12	L	10	protesting the Vietnam War	149	History	US History		Carleton	Cameron Amini	10	117	0.785			
2018-01-20	Toronto	1	12	L	11	light	144	RMPSS	Religion		Carleton	Ian Dewan	10	130	0.903	bounceback		
2018-01-20	Toronto	1	12	L	12	esters	109	Science	Chemistry		Carleton	Ian Dewan	10	92	0.844			
2018-01-20	Toronto	1	12	L	13	First Folio	144	Literature	Miscellaneous Lit		Carleton	Ted Gan	-5	24	0.167			
2018-01-20	Toronto	1	12	L	14	Tyr	150	RMPSS	Mythology		Carleton	Cameron Amini	10	118	0.787			
2018-01-20	Toronto	1	12	L	16	Charles Sanders Peirce	125	RMPSS	Philosophy		Carleton	Cameron Amini	10	122	0.976			
2018-01-20	Toronto	1	12	L	17	Billiards at Half-Past Nine	144	Literature	Long Fiction		Carleton	Ted Gan	10	144	1.0	bounceback		
2018-01-20	Toronto	1	12	L	18	California	149	Arts	Painting/Sculpture		Carleton	Cameron Amini	0	149	1.0			
2018-01-20	Toronto	1	12	L	20	cornea	138	Science	Biology		Carleton	Ted Gan	0	138	1.0	bounceback		
2018-01-20	Toronto	2	1	B	2	Walden	143	Literature	Miscellaneous Lit		Carleton	Cameron Amini	10	132	0.923			
2018-01-20	Toronto	2	1	B	4	The Great Game	154	History	British, Canadian, Australian, New Zealand History		Carleton	Cameron Amini	10	69	0.448			
2018-01-20	Toronto	2	1	B	8	India	139	Other	Geography		Carleton	Cameron Amini	10	137	0.986			
2018-01-20	Toronto	2	1	B	9	thermoclines	133	Science	Other Science	Earth Science	Carleton	Ian Dewan	10	91	0.684			
2018-01-20	Toronto	2	1	B	10	endings	165	Literature	Long Fiction		Carleton	Ian Dewan	10	75	0.455			
2018-01-20	Toronto	2	1	B	12	Armenians	145	History	US History		Carleton	Cameron Amini	10	59	0.407			
