question_set_edition	tournament	room	round	packet	bonus	answer1	answer2	answer3	category	subcategory	subsubcategory	team	value1	value2	value3
2018-01-20	Toronto	1	1	B	1	phase transitions	topological phases	David James Thouless	Science	Physics		Queen's	10	0	0
2018-01-20	Toronto	1	1	B	2	Constantinople	Baldwin	Asen dynasty	History	Continental European History (post-600 CE)		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	3	golden apples	Paris	Tír na nÓg	RMPSS	Mythology		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	4	perfect numbers	Mersenne primes	aliquot sequence	Science	Other Science	Math	McGill B	10	10	0
2018-01-20	Toronto	1	1	B	5	Stalwarts	James A. Garfield	Oneida Community	History	US History		Queen's	10	10	0
2018-01-20	Toronto	1	1	B	6	Czesław Miłosz	poems	the end of the world	Literature	Non-Epic Poetry		Queen's	0	10	10
2018-01-20	Toronto	1	1	B	7	Holika	bhakti	Kama	RMPSS	Religion		Queen's	0	0	10
2018-01-20	Toronto	1	1	B	8	piano concerto	Maurice Ravel	Piano Concerto No. 3 by Sergei Prokofiev	Arts	Music		Queen's	10	10	0
2018-01-20	Toronto	1	1	B	9	Call It Sleep	Portnoy’s Complaint	Roth	Literature	Long Fiction		Queen's	0	0	10
2018-01-20	Toronto	1	1	B	10	boogie-woogie	Piet Mondrian	Bridget Riley	Arts	Painting/Sculpture		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	11	oration	Athens	Mary Renault	Literature	Miscellaneous Lit		Queen's	0	10	0
2018-01-20	Toronto	1	1	B	12	Sea Peoples	Herodotus	Suppiluliuma	History	Continental or Near Eastern History (pre-600 CE)		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	13	“Maman died today”	The Stranger	Nervous Conditions	Literature	Long Fiction		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	14	norbornene	polymerization	carbocations	Science	Chemistry		McGill B	0	10	10
2018-01-20	Toronto	1	1	B	15	Big Data	Cathy O’Neil	recidivism risk	Other	Other Academic		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	16	Caste Wars	Mayan people	K’iche’ Maya	History	Other History		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	17	Proto-Indo-European	Neogrammarians	William Labov	RMPSS	Social Science		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	18	stop codons	translation	pyrrolysine	Science	Biology		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	19	Shulamith Firestone	orgasm	Wilhelm Reich	RMPSS	Philosophy		McGill B	0	10	0
2018-01-20	Toronto	1	2	C	1	Vincenzo Bellini	Romeo and Juliet	Il Pirata	Arts	Other Art	Opera	Carleton	0	10	0
2018-01-20	Toronto	1	2	C	2	gibberellins	rice	20	Science	Biology		Carleton	10	10	0
2018-01-20	Toronto	1	2	C	3	Faraday Future	Gigafactory	Andrew Cuomo	Other	Current Events		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	4	Roger Mortimer, 1st Earl of March	Hundred Years’ War	Battle of Bannockburn	History	British, Canadian, Australian, New Zealand History		Carleton	10	10	10
2018-01-20	Toronto	1	2	C	5	Antonio Machado	Ruben Dario	evil	Literature	Non-Epic Poetry		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	6	The Calculus of Consent: Logical Foundations of Constitutional Democracy	public choice theory	Virginia	RMPSS	Social Science		Carleton	0	0	0
2018-01-20	Toronto	1	2	C	7	density matrix	Liouville’s theorem	entropy	Science	Physics		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	8	Burgundy	John the Fearless	Feast of the Pheasant	History	Continental European History (post-600 CE)		Carleton	10	0	10
2018-01-20	Toronto	1	2	C	9	James Baldwin’s father	Native Son	preacher	Literature	Miscellaneous Lit		Waterloo A	0	10	0
2018-01-20	Toronto	1	2	C	10	apples OR acorns	René Descartes	Philosophical Investigations	RMPSS	Philosophy		Carleton	0	10	10
2018-01-20	Toronto	1	2	C	11	gates	Forbidden City	Nanjing	History	Other History		Waterloo A	10	10	10
2018-01-20	Toronto	1	2	C	12	vases	red-figure painting	meanders	Arts	Painting/Sculpture		Carleton	10	10	0
2018-01-20	Toronto	1	2	C	13	tirthankaras	karmas	Bhagavata Purana	RMPSS	Religion		Waterloo A	0	10	0
2018-01-20	Toronto	1	2	C	14	triple bond	Zaitsev’s rule	neopentyl group	Science	Chemistry		Carleton	0	10	0
2018-01-20	Toronto	1	2	C	15	Metamorphoses	Trimalchio	Aethiopica	Literature	Long Fiction		Carleton	10	10	0
2018-01-20	Toronto	1	2	C	16	one	constructive proof	Ramsey numbers	Science	Other Science	Math	Carleton	10	10	0
2018-01-20	Toronto	1	2	C	17	Metacomet	Plymouth Colony	Narragansett	History	US History		Waterloo A	0	0	0
2018-01-20	Toronto	1	2	C	18	Claude Debussy	xylophone	koto	Arts	Music		Waterloo A	10	10	0
2018-01-20	Toronto	1	3	I	1	Shanghai	Battle of Stalingrad	USS Panay	History	Other History		Toronto A	10	10	0
2018-01-20	Toronto	1	3	I	2	reliquary	kings of France	Basilica of St. Denis	RMPSS	Religion		Toronto A	10	10	0
2018-01-20	Toronto	1	3	I	3	tautomerism	glucose	enamine	Science	Chemistry		Toronto A	10	10	0
2018-01-20	Toronto	1	3	I	4	George Eliot	Anthony Trollope	Thomas Hardy	Literature	Long Fiction		Toronto A	0	0	10
2018-01-20	Toronto	1	3	I	5	neutrophil	bone marrow	myeloid derived suppressor cells	Science	Biology		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	6	Bast	aegis	Hathor	RMPSS	Mythology		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	7	Quinta del Sordo	Francisco Goya	an asylum	Arts	Painting/Sculpture		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	8	Sicily	Hamilcar Barca	Battle of Cape Ecnomus	History	Continental or Near Eastern History (pre-600 CE)		Toronto A	10	0	0
2018-01-20	Toronto	1	3	I	9	you	Apollo 8	Susan Brownmiller	Other	Other Academic		Toronto A	0	10	0
2018-01-20	Toronto	1	3	I	10	Eugene Victor Debs	imprisonment	Norman Thomas	History	US History		Toronto A	10	10	0
2018-01-20	Toronto	1	3	I	11	dream deferred	Langston Hughes	“Dig And Be Dug / In Return”	Literature	Non-Epic Poetry		Waterloo B	10	10	0
2018-01-20	Toronto	1	3	I	12	Ernani	Giuseppe Verdi	Jerusalem	Arts	Other Art	Opera	Waterloo B	0	10	0
2018-01-20	Toronto	1	3	I	13	Étienne Bonnot de Condillac	animals	history	RMPSS	Philosophy		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	14	Carl Philipp Emanuel Bach	London	Magnificat	Arts	Music		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	15	“Citizenship and Social Class”	gender	Sheryl Sandberg	RMPSS	Social Science		Toronto A	0	10	10
2018-01-20	Toronto	1	3	I	16	plasmas	electric-field screening	Enrico Fermi	Science	Physics		Waterloo B	10	0	0
2018-01-20	Toronto	1	4	H	1	Rhapsody in Blue	George Gershwin	“The Man I Love”	Arts	Music		Toronto B	10	10	0
2018-01-20	Toronto	1	4	H	2	Emilio Aguinaldo	Spain	Hong Kong	History	Other History		Queen's	10	10	0
2018-01-20	Toronto	1	4	H	3	Westward the Course of Empire Takes Its Way	George Washington	William Penn	Arts	Painting/Sculpture		Queen's	0	10	0
2018-01-20	Toronto	1	4	H	4	Wallenberg family	Saab AB	Sweden	History	Continental European History (post-600 CE)		Toronto B	0	0	10
2018-01-20	Toronto	1	4	H	5	Stefan Zweig	World War I	Erich Maria Remarque	Literature	Long Fiction		Queen's	0	0	10
2018-01-20	Toronto	1	4	H	6	diapirs	atolls	guyots	Science	Other Science	Earth Science	Queen's	0	10	0
2018-01-20	Toronto	1	4	H	7	dramatic monologue	Robert Browning	“The Bishop Orders His Tomb at Saint Praxed’s Church”	Literature	Non-Epic Poetry		Toronto B	10	10	0
2018-01-20	Toronto	1	4	H	8	Tigris River AND Euphrates River	Enlil OR Ninlil	the Moon	RMPSS	Mythology		Toronto B	0	0	0
2018-01-20	Toronto	1	4	H	9	human rights	Karl Marx	Samuel Moyn	RMPSS	Social Science		Queen's	10	0	0
2018-01-20	Toronto	1	4	H	10	Compton scattering	wavelength	coincidence	Science	Physics		Toronto B	10	0	0
2018-01-20	Toronto	1	4	H	11	Cao Dai	Holy See	buddhas	RMPSS	Religion		Queen's	10	0	0
2018-01-20	Toronto	1	4	H	12	Innocent Eréndira	Gabriel García Márquez	Colonel Aureliano Buendía	Literature	Short Fiction		Queen's	0	10	0
2018-01-20	Toronto	1	4	H	13	polymer branching	rubber	graft copolymers	Science	Chemistry		Queen's	10	10	0
2018-01-20	Toronto	1	4	H	14	Le Père Goriot	Honoré de Balzac	the city of Paris	Literature	Long Fiction		Queen's	0	10	0
2018-01-20	Toronto	1	4	H	15	Lascaux Caves	hunting	aurochs	History	Historiography and Archaeology		Toronto B	10	10	10
2018-01-20	Toronto	1	4	H	16	Georg Wilhelm Friedrich Hegel	Søren Kierkegaard	Richard Rorty	RMPSS	Philosophy		Toronto B	10	0	10
2018-01-20	Toronto	1	5	N	1	mental asylums	R. D. Laing	Gilles Deleuze	RMPSS	Social Science		Waterloo A	10	0	0
2018-01-20	Toronto	1	5	N	2	The Steerage	New York City	clouds	Arts	Other Art	Photography	Toronto C	0	10	0
2018-01-20	Toronto	1	5	N	3	gardens	Mithra	thoughts AND/OR words AND/OR deeds	RMPSS	Religion		Waterloo A	10	0	0
2018-01-20	Toronto	1	5	N	4	Samuel Johnson	biography	Richard Savage	Literature	Miscellaneous Lit		Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	5	Balearic Islands	Sardinia	graves	History	Historiography and Archaeology		Waterloo A	0	10	10
2018-01-20	Toronto	1	5	N	6	folding@home	Alzheimer’s disease	protein–protein docking	Science	Biology		Waterloo A	10	10	0
2018-01-20	Toronto	1	5	N	7	diplomat	Pablo Neruda	“I Explain a Few Things”	Literature	Non-Epic Poetry		Toronto C	0	10	0
2018-01-20	Toronto	1	5	N	8	Madagascar	Malacca	Aurangzeb Alamgir	History	Other History		Waterloo A	10	0	0
2018-01-20	Toronto	1	5	N	9	thermodynamic potentials	Josiah Willard Gibbs	natural variables	Science	Chemistry		Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	10	Cathbad	druids	Hill of Tara	RMPSS	Mythology		Toronto C	0	10	0
2018-01-20	Toronto	1	5	N	11	visas	prevailing wage	Bracero program	History	US History		Waterloo A	10	0	0
2018-01-20	Toronto	1	5	N	12	Catechism of a Revolutionary	Mikhail Bakunin	proletariat	RMPSS	Philosophy		Waterloo A	0	10	10
2018-01-20	Toronto	1	5	N	13	butterflies	Junot Díaz	Edwidge Danticat	Literature	Long Fiction		Toronto C	0	10	0
2018-01-20	Toronto	1	5	N	14	isospin	protons AND neutrons	quark flavor	Science	Physics		Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	15	piano sonata	Franz Liszt	Hungarian Rhapsody No. 2 in C-sharp minor	Arts	Music		Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	16	Augustin-Louis Cauchy	analysis	a-sub-1 plus 2 a-sub-2 plus 4 a-sub-4 plus 8 a-sub-8 and so on	Science	Other Science	Math	Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	17	handscrolls	maps of the Low Countries	ancient Roman ruins	Arts	Painting/Sculpture		Toronto C	10	0	0
2018-01-20	Toronto	1	5	N	18	Sébastien Le Prestre de Vauban	Louis XIV	Luxembourg	History	Continental European History (post-600 CE)		Waterloo A	0	10	0
2018-01-20	Toronto	1	5	N	19	La Paz, Bolivia	Florence	Prague	Other	Other Academic		Toronto C	0	10	10
2018-01-20	Toronto	1	6	D	1	“The Star-Apple Kingdom”	Derek Walcott	Africa	Literature	Non-Epic Poetry		Waterloo B	0	0	0
2018-01-20	Toronto	1	6	D	2	Nidhogg	dragon	Gesta Danorum	RMPSS	Mythology		McGill A	10	10	10
2018-01-20	Toronto	1	6	D	3	titration	back titration	saponification	Science	Chemistry		McGill A	10	0	10
2018-01-20	Toronto	1	6	D	4	Stations of the Cross	garden	Simon of Cyrene	RMPSS	Religion		McGill A	10	10	0
2018-01-20	Toronto	1	6	D	5	condottieri	House of Sforza	white	History	Continental European History (post-600 CE)		McGill A	10	10	0
2018-01-20	Toronto	1	6	D	6	Paul Gauguin	Tahiti	Olympia	Arts	Painting/Sculpture		McGill A	10	10	10
2018-01-20	Toronto	1	6	D	7	Kobo Abe	Nora Ephron	Alan Ayckbourn	Literature	Drama		McGill A	10	0	0
2018-01-20	Toronto	1	6	D	8	distance	Hamming code	parity	Science	Other Science	Computer Science	McGill A	10	0	0
2018-01-20	Toronto	1	6	D	9	tribune	Clodius Pulcher	Tigranes	History	Continental or Near Eastern History (pre-600 CE)		Waterloo B	0	0	0
2018-01-20	Toronto	1	6	D	10	The Nose	Dmitri Shostakovich	Wozzeck	Arts	Other Art	Opera	McGill A	0	10	10
2018-01-20	Toronto	1	6	D	11	“Winter Dreams”	F. Scott Fitzgerald	Babylon	Literature	Short Fiction		McGill A	0	10	10
2018-01-20	Toronto	1	6	D	12	Hulagu Khan	mamluks	chivalry	History	Other History		McGill A	10	10	0
2018-01-20	Toronto	1	6	D	13	frequency	supersymmetric theories	all over 2	Science	Physics		McGill A	10	10	0
2018-01-20	Toronto	1	6	D	14	externalism	Hilary Putnam	John Dewey	RMPSS	Philosophy		McGill A	10	10	10
2018-01-20	Toronto	1	6	D	15	John C. Fremont	“Kit” Carson	Bozeman Trail	History	US History		McGill A	0	10	0
2018-01-20	Toronto	1	6	D	16	Kazuo Ishiguro	solar eclipse	Jurgen, A Comedy of Justice	Literature	Long Fiction		McGill A	10	10	0
2018-01-20	Toronto	1	6	D	17	potassium	ATP	leak channels	Science	Biology		McGill A	10	10	10
2018-01-20	Toronto	1	6	D	18	Matterhorn	casinos	Gotthard Base Tunnel	Other	Geography		McGill A	0	10	10
2018-01-20	Toronto	1	7	E	1	Kurt Lewin	behavior	valence	RMPSS	Social Science		Toronto B	0	10	10
2018-01-20	Toronto	1	7	E	2	Diomedes	Bellerophontes	Aeneas	RMPSS	Mythology		McGill B	0	10	10
2018-01-20	Toronto	1	7	E	3	mass spectrometry	trifluoroacetic acid	bromine	Science	Chemistry		McGill B	10	0	10
2018-01-20	Toronto	1	7	E	4	Dulness	Alexander Pope	“MacFlecknoe”	Literature	Non-Epic Poetry		McGill B	0	10	10
2018-01-20	Toronto	1	7	E	5	canonical ensemble	Ludwig Eduard Boltzmann	total energy	Science	Physics		Toronto B	0	10	0
2018-01-20	Toronto	1	7	E	6	Camillo Benso, Count of Cavour	trasformismo	Paris Peace Conference	History	Continental European History (post-600 CE)		Toronto B	10	0	10
2018-01-20	Toronto	1	7	E	7	Lucas Cranach the Elder	hunting	melancholy	Arts	Painting/Sculpture		Toronto B	0	10	0
2018-01-20	Toronto	1	7	E	8	Challenger disaster	Richard Feynman	Peggy Noonan	History	US History		Toronto B	10	0	0
2018-01-20	Toronto	1	7	E	9	Amarcord	8½	Italy	Arts	Other Art	Film	McGill B	0	0	10
2018-01-20	Toronto	1	7	E	10	animals	Disgrace	J. M. Coetzee	Literature	Long Fiction		McGill B	0	0	10
2018-01-20	Toronto	1	7	E	11	hydrophobicity	serine	oxyanion hole	Science	Biology		Toronto B	0	0	0
2018-01-20	Toronto	1	7	E	12	a dog barking	Run the Jewels	Mario Paint	Other	Trash		McGill B	10	0	0
2018-01-20	Toronto	1	7	E	13	Kangxi Emperor	Jesuit Order	British East India Company	History	Other History		McGill B	0	10	0
2018-01-20	Toronto	1	7	E	14	clarinet	cello	glass harmonica	Arts	Music		McGill B	0	10	0
2018-01-20	Toronto	1	7	E	15	Gottfried Leibniz	theodicy	Saint Irenaeus	RMPSS	Philosophy		McGill B	10	10	0
2018-01-20	Toronto	1	7	E	16	Nice model	one-to-two	Kuiper belt	Science	Other Science	Astronomy	McGill B	0	10	0
2018-01-20	Toronto	1	7	E	17	Konstantin Dmitrich Levin	Leo Tolstoy	King Lear	Literature	Long Fiction		McGill B	10	10	10
2018-01-20	Toronto	1	8	A	1	Desert Solitaire	Ancestral Puebloans	Aldo Leopold	Literature	Miscellaneous Lit		Carleton	0	10	0
2018-01-20	Toronto	1	8	A	2	In the Steppes of Central Asia	violin	Tamara	Arts	Music		Toronto C	0	10	0
2018-01-20	Toronto	1	8	A	3	culture-bound or culture-specific syndrome	koro	eating disorders	RMPSS	Social Science		Carleton	10	0	10
2018-01-20	Toronto	1	8	A	4	divide-and-conquer algorithms	matrix multiplication	log-base-2 of 7	Science	Other Science	Computer Science	Carleton	10	0	0
2018-01-20	Toronto	1	8	A	5	Crown Heights Riots	Rudy Giuliani	Daniel Patrick Moynihan	History	US History		Toronto C	0	0	0
2018-01-20	Toronto	1	8	A	6	octopus or octopi	Immanuel Kant	Diogenes the Cynic	RMPSS	Philosophy		Toronto C	0	10	10
2018-01-20	Toronto	1	8	A	7	Great Mosque of Djenné	adobe	Iran	Arts	Other Art	Architecture	Carleton	0	0	10
2018-01-20	Toronto	1	8	A	8	Pankhurst	World War I	dreadnoughts	History	British, Canadian, Australian, New Zealand History		Carleton	10	10	10
2018-01-20	Toronto	1	8	A	9	beta-propeller	helix	green fluorescence protein	Science	Biology		Carleton	0	10	10
2018-01-20	Toronto	1	8	A	10	Doris Lessing	Thomas Pynchon	Oryx and Crake	Literature	Long Fiction		Toronto C	0	10	0
2018-01-20	Toronto	1	8	A	11	Iberian peninsula	Toledo	Francisco Jiménez de Cisneros	History	Continental European History (post-600 CE)		Carleton	10	0	0
2018-01-20	Toronto	1	8	A	12	Heracles	Stymphalian birds	Arcadia	RMPSS	Mythology		Carleton	10	0	0
2018-01-20	Toronto	1	8	A	13	the rural purge	M*A*S*H	“The Revolution Will Not Be Televised”	Other	Trash		Carleton	0	10	10
2018-01-20	Toronto	1	8	A	14	silver nanoparticles	silver mirror	citrate	Science	Chemistry		Carleton	0	0	10
2018-01-20	Toronto	1	8	A	15	Voltaire	portrait bust	écorché	Arts	Painting/Sculpture		Carleton	0	10	0
2018-01-20	Toronto	1	8	A	16	The Luminaries	Wilkie Collins	opium	Literature	Long Fiction		Carleton	0	0	10
2018-01-20	Toronto	1	8	A	17	Astana	Kazakhstan	Nursultan Nazarbayev	History	Other History		Carleton	10	10	10
2018-01-20	Toronto	1	8	A	18	Noah	Behemoth	Ethiopian Orthodox Church	RMPSS	Religion		Carleton	10	10	10
2018-01-20	Toronto	1	9	G	1	the reader	Jane Eyre	St. John Eyre Rivers	Literature	Long Fiction		McGill A	0	10	10
2018-01-20	Toronto	1	9	G	2	electron holes	positrons	spin–charge separation	Science	Physics		Toronto A	10	10	0
2018-01-20	Toronto	1	9	G	3	cotton	Massachusetts	Mexico	History	US History		Toronto A	10	0	0
2018-01-20	Toronto	1	9	G	4	carbon nanotubes	Raman spectroscopy	pi–pi stacking	Science	Chemistry		McGill A	10	0	0
2018-01-20	Toronto	1	9	G	5	Dreamtime	Aborigines	crocodile	RMPSS	Mythology		McGill A	10	10	0
2018-01-20	Toronto	1	9	G	6	coal	Jean Jaurès	Georges Clemenceau	History	Continental European History (post-600 CE)		McGill A	10	0	10
2018-01-20	Toronto	1	9	G	7	Cannery Row	John Steinbeck	frogs	Literature	Long Fiction		McGill A	0	10	0
2018-01-20	Toronto	1	9	G	8	Sun Wukong	Dragon Ball	Titans	Other	Trash		McGill A	0	10	10
2018-01-20	Toronto	1	9	G	9	pianoforte	three	Jan Ladislav Dussek	Arts	Music		McGill A	10	10	0
2018-01-20	Toronto	1	9	G	10	nikah al-mut‘ah	Twelverism	hadith	RMPSS	Religion		Toronto A	0	10	10
2018-01-20	Toronto	1	9	G	11	Pahlavi script	Kingdom of Thailand	Ashoka the Great	History	Other History		McGill A	0	0	10
2018-01-20	Toronto	1	9	G	12	climax communities	wildfire	chronosequences	Science	Biology		McGill A	10	10	0
2018-01-20	Toronto	1	9	G	13	Maria	Leonard Bernstein	Lin-Manuel Miranda	Arts	Other Art	Other Visual	Toronto A	0	10	10
2018-01-20	Toronto	1	9	G	14	Bruno Schulz	Jonathan Safran Foer	Franz Kafka	Literature	Short Fiction		McGill A	10	10	10
2018-01-20	Toronto	1	9	G	15	welfare economics	Arrow’s impossibility theorem	Amartya Sen	RMPSS	Social Science		McGill A	10	10	10
2018-01-20	Toronto	1	9	G	16	Constantin Brâncuși	Bird in Space	Charles Demuth	Arts	Painting/Sculpture		McGill A	10	10	0
2018-01-20	Toronto	1	9	G	17	Iona	Easter	The Venerable Bede	History	British, Canadian, Australian, New Zealand History		McGill A	10	10	10
2018-01-20	Toronto	1	9	G	18	Stephen Toulmin	logic	Avicenna	RMPSS	Philosophy		McGill A	0	10	10
2018-01-20	Toronto	1	9	G	19	usura	Ezra Pound	Odysseus	Literature	Non-Epic Poetry		Toronto A	0	10	10
2018-01-20	Toronto	1	10	J	1	Surrealism	Guillaume Apollinaire	Aimé Césaire	Literature	Non-Epic Poetry		McGill A	10	10	0
2018-01-20	Toronto	1	10	J	2	Adolphe Sax	trumpet	“Chet” Baker	Arts	Other Art	Jazz	McGill A	10	10	0
2018-01-20	Toronto	1	10	J	3	color vision	translating the Rosetta Stone	phonetic alphabet	Other	Other Academic		McGill A	10	10	10
2018-01-20	Toronto	1	10	J	4	Brahma AND Vishnu	Nüwa	she spoke first	RMPSS	Mythology		Carleton	10	0	0
2018-01-20	Toronto	1	10	J	5	history from below	people’s history	Canada	History	Historiography and Archaeology		Carleton	0	10	10
2018-01-20	Toronto	1	10	J	6	quadrupole	Wolfgang Paul	radio frequency	Science	Physics		McGill A	10	0	10
2018-01-20	Toronto	1	10	J	7	risk	expected utility theory	stocks	RMPSS	Social Science		Carleton	10	10	10
2018-01-20	Toronto	1	10	J	8	The Heart is a Lonely Hunter	Southern Gothic	Ellen Glasgow	Literature	Long Fiction		Carleton	10	10	0
2018-01-20	Toronto	1	10	J	9	prime numbers	public key	multiplicative inverses	Science	Other Science	Computer Science	McGill A	10	10	10
2018-01-20	Toronto	1	10	J	10	Do-Nothing Congress	Taft–Hartley Act	term limits	History	US History		McGill A	10	10	10
2018-01-20	Toronto	1	10	J	11	Georges Simenon	Agatha Christie	French Riviera	Literature	Long Fiction		McGill A	0	10	10
2018-01-20	Toronto	1	10	J	12	radio broadcasting	soda	X-rays	History	Continental European History (post-600 CE)		Carleton	10	10	0
2018-01-20	Toronto	1	10	J	13	Cleanth Brooks	Robert Penn Warren	Thomas Wolfe	Literature	Miscellaneous Lit		McGill A	10	10	10
2018-01-20	Toronto	1	10	J	14	Willard Van Orman Quine	empiricism	Rudolf Carnap	RMPSS	Philosophy		McGill A	10	10	10
2018-01-20	Toronto	1	10	J	15	Sergei Rachmaninoff	elegy	9/11	Arts	Music		McGill A	10	0	10
2018-01-20	Toronto	1	10	J	16	prosperity gospel	eye of a needle	Catholic Worker Movement	RMPSS	Religion		McGill A	10	10	0
2018-01-20	Toronto	1	10	J	17	fitness landscapes	alleles	phenotypic plasticity	Science	Biology		McGill A	10	10	0
2018-01-20	Toronto	1	10	J	18	Realism	Gustave Courbet	Ottoman Empire	Arts	Painting/Sculpture		McGill A	10	10	10
2018-01-20	Toronto	1	10	J	19	wood	Honduras	Hawaii	History	Other History		McGill A	10	10	0
2018-01-20	Toronto	1	10	J	20	free radicals	hyperconjugation	the first derivative	Science	Chemistry		Carleton	10	0	0
2018-01-20	Toronto	1	11	K	1	lift	angle of attack	camber	Science	Physics		Toronto A	10	10	0
2018-01-20	Toronto	1	11	K	2	The World According to Garp	John Irving	Vienna	Literature	Long Fiction		Toronto A	10	10	0
2018-01-20	Toronto	1	11	K	3	Babylon	sixty	Seleucid Empire	History	Continental or Near Eastern History (pre-600 CE)		McGill A	0	10	10
2018-01-20	Toronto	1	11	K	4	Divan	Johann Wolfgang von Goethe	Ralph Waldo Emerson	Literature	Non-Epic Poetry		Toronto A	0	10	0
2018-01-20	Toronto	1	11	K	5	Palace of Fontainebleau	Benvenuto Cellini	a stag	Arts	Painting/Sculpture		McGill A	0	10	0
2018-01-20	Toronto	1	11	K	6	ecosystem engineers	keystone species	biodiversity	Science	Biology		Toronto A	0	10	10
2018-01-20	Toronto	1	11	K	7	Elisabeth of Bavaria	Rudolf	Franz Ferdinand Karl Ludwig Joseph Maria	History	Continental European History (post-600 CE)		McGill A	10	10	10
2018-01-20	Toronto	1	11	K	8	Mandaeism	John the Baptist	Gnostic religions	RMPSS	Religion		McGill A	0	10	10
2018-01-20	Toronto	1	11	K	9	preludes	Johann Sebastian Bach	Inventions and Sinfonias	Arts	Music		Toronto A	10	10	10
2018-01-20	Toronto	1	11	K	10	“The Unreality of Time”	G. E. Moore	common sense	RMPSS	Philosophy		McGill A	10	10	10
2018-01-20	Toronto	1	11	K	11	Baeyer–Villiger oxidation	ozone	Newman projection	Science	Chemistry		Toronto A	0	10	0
2018-01-20	Toronto	1	11	K	12	pyroxenes	basalt	monoclinic AND orthorhombic	Science	Other Science	Earth Science	McGill A	10	10	0
2018-01-20	Toronto	1	11	K	13	mushrooms	atomic bomb	human development	RMPSS	Social Science		McGill A	0	10	10
2018-01-20	Toronto	1	11	K	14	Fascist Italy	Umberto Eco	Quo Vadis?	Literature	Long Fiction		McGill A	10	10	10
2018-01-20	Toronto	1	11	K	15	Southeast Asia	Burma	Chittagong Hill Tracts	History	Other History		Toronto A	0	10	0
2018-01-20	Toronto	1	11	K	16	Psycho	Diane Arbus	The Empire of Light	Arts	Other Art	Other Visual	Toronto A	10	0	0
2018-01-20	Toronto	1	11	K	17	owls	Panchatantra	Athena	RMPSS	Mythology		Toronto A	0	0	10
2018-01-20	Toronto	1	11	K	18	Strom Thurmond	Byrd	Richard Russell	History	US History		McGill A	10	10	0
2018-01-20	Toronto	1	11	K	19	Albrecht von Wallenstein	Friedrich von Schiller	Letters on the Aesthetic Education of Man	Literature	Miscellaneous Lit		Toronto A	0	10	0
2018-01-20	Toronto	1	12	L	1	Quartet for the End of Time	World War II	A Survivor from Warsaw	Arts	Music		Toronto A	10	10	0
2018-01-20	Toronto	1	12	L	2	orbits	delta-v	bi-elliptic transfer	Science	Physics		Carleton	10	10	0
2018-01-20	Toronto	1	12	L	3	Jean-Antoine Watteau	Titian	David Teniers the Younger	Arts	Painting/Sculpture		Toronto A	0	0	0
2018-01-20	Toronto	1	12	L	4	Samson	the jawbone of a donkey/ass	Epistle to the Hebrews	RMPSS	Religion		Carleton	10	0	10
2018-01-20	Toronto	1	12	L	5	New Zealand	Helen Clark	alcohol prohibition	History	British, Canadian, Australian, New Zealand History		Carleton	10	10	10
2018-01-20	Toronto	1	12	L	6	Mars	Ray Bradbury	“There Will Come Soft Rains”	Literature	Short Fiction		Carleton	10	10	10
2018-01-20	Toronto	1	12	L	7	fly	Mount Penglai	white	RMPSS	Mythology		Toronto A	10	10	10
2018-01-20	Toronto	1	12	L	8	foams	colloids	Ostwald ripening	Science	Chemistry		Toronto A	10	10	0
2018-01-20	Toronto	1	12	L	9	The Hour of the Star	Virginia Woolf	Gustave Flaubert	Literature	Long Fiction		Carleton	0	10	10
2018-01-20	Toronto	1	12	L	10	Gudit	Axumite Empire	Ethiopia	History	Other History		Carleton	0	10	10
2018-01-20	Toronto	1	12	L	11	rondeaux	Flanders	Geoffrey Chaucer	Literature	Non-Epic Poetry		Carleton	0	10	0
2018-01-20	Toronto	1	12	L	12	“The White Negro”	psychoanalysis	Eldridge Cleaver	RMPSS	Social Science		Carleton	10	10	0
2018-01-20	Toronto	1	12	L	13	Abu Dhabi	Frank Gehry	Tadao Ando	Arts	Other Art	Architecture	Toronto A	10	10	0
2018-01-20	Toronto	1	12	L	14	William Howard Taft	Gerald Ford	Theodore “Teddy” Roosevelt	History	US History		Carleton	0	10	10
